label,value
Gingersnap Cookie Crust:,2 Cups Gingersnap Cookie Crumbs
,1/4 Teaspoon Each: Ground Ginger & Ground Cinnamon
,6 Tablespoons Unsalted Butter (melted)
,1/4 Cup Granulated Sugar (or Brown Sugar)
Cheesecake:,1 Cup Cold Heavy Cream or Heavy Whipping Cream
,"Two 8-ounce blocks full-fat cream cheese, softened to room temp."
,3/4 cup confectioners sugar
,1/4 Cup packed light or dark brown sugar
,1 teaspoon pure vanilla extract
,2 teaspoons pumpkin pie spice
,1/2 teaspoon ground cinnamon
,1/8 teaspoon salt
